名称,osc mems prog 7.0x5.0mm 1.8v,型号,sit8209ai-8-18e,分类,可编程振荡器,生产厂家,sitime,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,1.8V	,	output,lvcmos; lvttl	,	type,mems (silicon)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),33ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	available frequency range,80.000001mhz ~ 220mhz,封装形式,smd(4),封装尺寸,"dfn,lcc",频率稳定度,±20ppm; ±25ppm; ±50ppm
名称,osc prog 2.5v cml low 7ppm,型号,591ud-cdg,分类,可编程振荡器,生产厂家,silabs,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,2.5V	,	output,cml	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),110ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	frequency stability (total),±20ppm,封装形式,smd(6),封装尺寸,"dfn,lcc",频率稳定度,±7ppm
名称,osc prog 2.5v lvds high 50ppm,型号,590fa-ddg,分类,可编程振荡器,生产厂家,silabs,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,2.5V	,	output,lvds	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),100ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	frequency stability (total),±100ppm,封装形式,smd(6),封装尺寸,"dfn,lcc",频率稳定度,±50ppm
名称,osc prog 3.3v cml low 50ppm,型号,590qa-ddg,分类,可编程振荡器,生产厂家,silabs,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,3.3V	,	output,cml	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),110ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	frequency stability (total),±100ppm,封装形式,smd(6),封装尺寸,"dfn,lcc",频率稳定度,±50ppm
名称,osc prog 3.3v lvpecl low 50ppm,型号,590ma-ddg,分类,可编程振荡器,生产厂家,silabs,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,3.3V	,	output,lvpecl	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),125ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	frequency stability (total),±100ppm,封装形式,smd(6),封装尺寸,"dfn,lcc",频率稳定度,±50ppm
名称,osc prog 2.5v cml high 50ppm,型号,591ha-ddg,分类,可编程振荡器,生产厂家,silabs,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,2.5V	,	output,cml	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),110ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	frequency stability (total),±100ppm,封装形式,smd(6),封装尺寸,"dfn,lcc",频率稳定度,±50ppm
名称,osc prog 3.3v lvds low 25ppm,型号,590nb-ddg,分类,可编程振荡器,生产厂家,silabs,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,3.3V	,	output,lvds	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),100ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	frequency stability (total),±50ppm,封装形式,smd(6),封装尺寸,"dfn,lcc",频率稳定度,±25ppm
名称,osc prog 3.3v lvpecl high 25ppm,型号,591ab-ddg,分类,可编程振荡器,生产厂家,silabs,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,3.3V	,	output,lvpecl	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),125ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	frequency stability (total),±50ppm,封装形式,smd(6),封装尺寸,"dfn,lcc",频率稳定度,±25ppm
名称,osc prog 3.3v lvds high 25ppm,型号,591bb-ddg,分类,可编程振荡器,生产厂家,silabs,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,3.3V	,	output,lvds	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),100ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	frequency stability (total),±50ppm,封装形式,smd(6),封装尺寸,"dfn,lcc",频率稳定度,±25ppm
名称,osc prog 2.5v lvpecl low 25ppm,型号,591rb-ddg,分类,可编程振荡器,生产厂家,silabs,厂商地域,美国,质量等级,工业级,温度范围,-40～85℃,	工作电压,2.5V	,	output,lvpecl	,	type,xo (standard)	,	function,enable/disable	,	mounting type,surface mount	,	current - supply (max),125ma	,	programmable type,programmed by digi-key (enter your frequency in web order notes)	,	frequency stability (total),±50ppm,封装形式,smd(6),封装尺寸,"dfn,lcc",频率稳定度,±25ppm
